Provincia;Localidad;Codigo_postal;Direccion;Margen;Toma_de_datos;Precio;Rotulo;Tipo_venta;Rem;Horario;Tipo_servicio;Fecha_extraccion
SANTA CRUZ DE TENERIFE;MEDANO EL        ;38612;CARRETERA TF64 GRANADILLA EL MEDANO KM 7 7;I;27 07 2020 1228;0,879;TGAS EL MEDANO;P;dm;LD 24H;LD 00000600  A   06002200  P   22002359  A ;01 08 2020
SANTA CRUZ DE TENERIFE;REALEJOS LOS      ;38410;CALLE LOS BARROS 33;D;30 07 2020 1500;0,879;DISA LOS BARROS;P;OM;LD 06002200;LD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ARICO;38260;AUTOPISTA AUTOPISTA TENERIFE SUR KM 44 2;D;29 07 2020 1629;0,879;PCAN;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;GRANADILLA DE ABONA   ;38600;CARRETERA GRANADILLA MEDANO KM 2 25;I;27 07 2020 0700;0,879;CEPSA LOS LLANOS GRANADILLA;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ARONA          ;38640;CRTRA VALLE SAN LORENZO LAS GALLETAS km 11 1;D;29 07 2020 0000;0,879;TGAS LAS GALLETAS;P;dm;LD 24H;LD 00000600  A   06002200  P   22002359  A ;01 08 2020
SANTA CRUZ DE TENERIFE;REALEJOS LOS      ;38410;CARRETERA CRA GRAL LA ZAMORA 22 KM 3 100;N;29 07 2020 1545;0,879;SHELL LOS REALEJOS;P;OM;LD 06002200;LD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ARONA;38627;AUTOPISTA AUTOPISTA DEL SUR PF 70 5 MARG IZQ KM 70 5;I;01 08 2020 0000;0,879;REPSOL;P;OM;LD 24H;LD 00001200  A   12002000  P   20002359  A ;01 08 2020
SANTA CRUZ DE TENERIFE;OROTAVA LA ;38315;CARRETERA GENERAL DEL NORTE 173 KM 173;D;29 07 2020 1545;0,879;SHELL LA PERDOMA;P;OM;LD 06002200;LS 06002200  P  D 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SAN ISIDRO        ;38611;AVENIDA SANTA CRUZ SN;D;27 07 2020 1314;0,879;DISA SAN ISIDRO;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SAN MIGUEL        ;38620;CARRETERA GENERAL DEL SUR KM 80 8;I;29 07 2020 1545;0,879;DISA SAN MIGUEL;P;OM;LD 06002200;LV 06001000  A   10001800  P   18002200  A  SD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;GRANADILLA DE ABONA   ;38600;AVENIDA FUNDADOR GONZALO GONZALEZ SN;N;29 07 2020 1524;0,879;DISA;P;dm;LD 06002300;LD 06002300  A ;01 08 2020
SANTA CRUZ DE TENERIFE;COSTA DEL SILENCIO    ;38630;CARRERA GENERAL LAS GALLETAS N 2 KM4 2;N;01 08 2020 0036;0,879;CEPSA COSTA DEL SILENCIO;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;REALEJOS LOS      ;38410;CALLE LOS BARROS 30;N;29 07 2020 1609;0,879;PCAN;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;PORIS DE ABONA      ;38588;AUTOVIA TF1 KM 39;I;27 07 2020 1558;0,879;REPSOL;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ARONA;38627;CARRETERA GRAL TF66 GUAZAGALLE KM 2;D;01 08 2020 0000;0,879;REPSOL;P;OM;LD 06002200;LD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;RAVELO          ;38359;CARRERA GENERAL DEL NORTE 20 450;N;29 07 2020 1545;0,880;DISA RAVELO;P;OM;LD 06002200;LD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;GRANADILLA DE ABONA   ;38616;CARRETERA TF 636 SAN ISIDRO CHIMICHE KM 4;D;29 07 2020 1115;0,883;PCAN;P;dm;LD 08002300;LD 08002300  A ;01 08 2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38234;CARRETERA TF12 LAS CANTERAS KM 0 5;I;29 07 2020 0000;0,883;TGAS LAS MERCEDES;P;dm;LS 07002200 D 08002100;LS 07002200  P  D 08002100  P ;01 08 2020
SANTA CRUZ DE TENERIFE;ICOD DE LOS VINOS    ;38430;CARRETERA TF82 KM 53 6;I;28 07 2020 0000;0,883;CEPSA;P;OM;LD 06002200;LD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38108;AUTOPISTA TF21 KM 3 5;D;28 07 2020 0000;0,884;CEPSA;P;OM;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38108;CARRETERA GENERAL DEL SUR KM 7 5;N;29 07 2020 1545;0,884;DISA BARRANCO GRANDE;P;OM;LS 06002200 D 08002200;LS 06000630  A   06302200  P  D 08002200  P ;01 08 2020
SANTA CRUZ DE TENERIFE;ANAZA          ;38111;PG IND ANAZA PARC39 S N ;D;01 08 2020 0000;0,885;REPSOL;P;OM;LD 06002200;LV 06001000  A   10001800  P   18002200  A  SD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38109;CALLE GUAIRE URB CUEVAS BLANCAS SN;N;30 07 2020 1500;0,885;DISA CUEVAS BLANCAS;P;OM;LD 07002300;LD 07002300  A ;01 08 2020
SANTA CRUZ DE TENERIFE;VILAFLOR         ;38613;CARRETERA CARRETERA GENERAL 821 KM 68 80;N;25 07 2020 0933;0,885;DISA;P;dm;LS 07002100 D 08001400;LS 07002100  A  D 08001400  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38007;CALLE ORTEGA Y GASSET 1;N;29 07 2020 1545;0,887;DISA TRES DE MAYO;P;OM;LD 24H;LD 00000600  A   06002200  P   22002359  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38005;VIA VIA PENETRACION KM 0 184 SN;N;29 07 2020 1545;0,887;DISA VIA PENETRACION;P;OM;LD 24H;LD 24H  A ;01 08 2020
PALMAS LAS ;AGUIMES;35119;CARRETERA GRAL DEL SUR KM 34 5;D;31 07 2020 0851;0,889;CEPSA BALOS 1;P;dm;LD 06002200;LV 06002200  P  SD 06002200  A ;01 08 2020
PALMAS LAS ;AGUIMES;35119;CARRETERA CTRA GRAL DEL SUR KM 34 5;I;31 07 2020 0850;0,889;CEPSA BALOS 2;P;dm;LD 06002200;LD 06002200  P ;01 08 2020
